Name,Value,Weight
Product_30,568,14
Product_131,412,13
Product_229,903,3
Product_56,491,7
Product_487,991,11
Product_320,314,2
Product_233,282,1
Product_88,895,2
Product_405,703,8
Product_416,237,13
Product_38,132,1
Product_227,547,18
Product_268,757,20
Product_204,809,2
Product_304,440,14
Product_197,139,6
Product_216,638,18
Product_383,356,5
Product_316,747,1
Product_470,278,6
Product_37,881,1
Product_29,886,15
Product_99,652,8
Product_122,366,17
Product_329,747,18
Product_101,311,4
Product_134,957,14
Product_86,690,11
Product_307,572,5
Product_250,436,18
Product_401,171,11
Product_7,998,10
Product_322,123,5
Product_110,296,2
Product_98,962,10
Product_19,735,11
Product_51,135,5
Product_113,572,14
Product_332,998,14
Product_441,240,17
Product_244,570,14
Product_155,694,18
Product_141,262,11
Product_482,707,15
Product_360,660,15
Product_292,373,18
Product_355,437,15
Product_81,366,14
Product_289,761,11
Product_172,390,15
Product_254,104,2
Product_149,710,19
Product_439,809,8
Product_59,404,17
Product_153,122,5
Product_370,779,1
Product_14,632,8
Product_68,861,17
Product_138,566,6
Product_467,633,10
Product_324,419,12
Product_159,549,15
Product_39,456,18
Product_366,818,19
Product_102,504,12
Product_142,406,3
Product_474,529,5
Product_354,992,8
Product_203,239,1
Product_280,841,17
Product_175,255,15
Product_3,433,11
Product_191,763,9
Product_212,230,8
Product_367,551,2
Product_187,665,6
Product_411,619,18
Product_95,833,5
Product_8,129,8
Product_28,278,16
Product_266,796,15
Product_111,873,18
Product_249,877,9
Product_445,112,10
Product_224,937,16
Product_20,581,7
Product_90,628,10
Product_391,376,6
Product_363,607,2
Product_255,658,17
Product_219,350,6
Product_25,318,1
Product_490,349,18
Product_174,609,12
Product_259,284,8
Product_415,448,2
Product_32,639,13
Product_4,743,16
Product_410,221,10
Product_321,945,12
Product_202,148,2
Product_351,901,9
Product_189,985,14
Product_220,507,20
Product_440,649,20
Product_166,746,2
Product_12,231,18
Product_176,986,3
Product_287,541,7
Product_23,281,2
Product_392,461,13
Product_336,987,11
Product_190,244,14
Product_458,157,6
Product_96,360,13
Product_129,641,1
Product_240,301,10
Product_17,161,15
Product_274,255,15
Product_294,263,16
Product_50,452,12
Product_235,629,13
Product_498,547,4
Product_116,193,7
Product_311,896,5
Product_34,754,7
Product_79,289,10
Product_158,859,18
Product_132,850,2
Product_221,210,15
Product_27,665,3
Product_260,656,20
Product_298,437,13
Product_315,537,1
Product_147,393,6
Product_64,169,17
Product_108,581,14
Product_170,313,3
Product_317,129,8
Product_16,616,5
Product_214,851,7
Product_76,628,14
Product_103,184,19
Product_396,883,1
Product_361,917,16
Product_2,154,13
Product_180,994,1
Product_443,953,7
Product_309,623,4
Product_404,980,9
Product_327,114,1
Product_185,403,19
Product_46,999,19
Product_372,945,8
Product_54,900,10
Product_206,723,11
Product_446,555,15
Product_312,791,12
Product_388,768,7
Product_357,939,4
Product_9,719,17
Product_195,388,20
Product_331,935,3
Product_387,413,10
Product_89,877,15
Product_106,462,3
Product_319,263,7
Product_173,545,7
Product_55,611,8
Product_65,776,1
Product_412,490,20
Product_379,418,6
Product_61,221,3
Product_263,689,5
Product_413,138,16
Product_15,860,9
Product_157,839,17
Product_245,173,3
Product_390,529,1
Product_459,504,14
Product_6,686,4
Product_74,598,13
Product_270,845,7
Product_67,710,17
Product_194,597,7
Product_41,535,2
Product_47,871,7
Product_77,115,2
Product_163,791,13
Product_18,431,15
Product_305,198,7
Product_236,790,14
Product_328,877,12
Product_453,754,14
Product_207,200,18
Product_232,982,8
Product_156,988,3
Product_466,812,14
Product_358,741,9
Product_468,107,9
Product_497,524,20
Product_199,973,19
Product_414,662,1
Product_293,796,15
Product_318,975,10
Product_382,628,17
Product_279,344,15
Product_423,419,15
Product_145,983,3
Product_449,232,2
Product_422,411,19
Product_419,501,16
Product_428,653,18
Product_480,524,10
Product_133,345,8
Product_346,867,20
Product_283,925,9
Product_426,678,10
Product_499,433,8
Product_455,187,18
Product_493,104,17
Product_477,801,4
Product_143,572,18
Product_277,262,13
Product_398,505,16
Product_488,700,19
Product_334,617,20
Product_282,248,14
Product_225,863,6
Product_313,744,20
Product_286,334,9
Product_491,681,8
Product_421,711,11
Product_341,945,9
Product_62,425,13
Product_475,919,8
Product_167,345,15
Product_447,660,2
Product_395,349,10
Product_223,792,13
Product_184,441,15
Product_434,710,2
Product_297,227,2
Product_243,284,19
Product_374,621,18
Product_339,320,8
Product_489,827,19
Product_146,784,14
Product_162,315,2
Product_342,185,9
Product_83,149,1
Product_427,891,11
Product_484,586,5
Product_21,384,14
Product_80,248,12
Product_456,370,10
Product_452,270,9
Product_386,337,16
